ID,Item Details,Parent Group,PRICE,Qty.
75,1103 XL,LOWER,435,0
76,1104 XXL,LOWER,555,0
77,1104 XXXL,LOWER,565,0
78,11055 10 16,BOYS SHIRTS,250,4
79,1106 L,LOWER,485,0
80,1106 M,LOWER,475,0
81,1106 XL,LOWER,495,0
82,111(597) 16 26,FROCK (A),850,0
83,112(597) 16 26,FROCK(L),895,0
84,113(597) 16 26,FROCK(L),895,6
85,114(597) 16 26,FROCK(L),805,0
86,1143(450) 22 26,BABA SUIT,590,0
87,1143(450) 28 32,BABA SUIT,650,3
88,1148(450) 20,BABA SUIT,565,6
89,1148(450) 22 26,BABA SUIT,590,6
90,1148(450) 28 32,BABA SUIT,650,6
91,1150 10 16,BOYS SHIRTS,450,1
92,116 28 34,GENTS PANT,685,1
93,1160(450) 20,BABA SUIT,505,6
94,1160(450) 22 26,BABA SUIT,530,4
95,1160(450) 28 32,BABA SUIT,590,6
96,1165(450) 20,BABA SUIT,505,0
97,1165(450) 22 26,BABA SUIT,530,0
98,1165(450) 28 32,BABA SUIT,590,0
99,1167(450) 20,BABA SUIT,505,0
100,1167(450) 22 26,BABA SUIT,530,0
101,1167(450) 28 32,BABA SUIT,590,6
102,1168(450) 22 26,BABA SUIT,565,6
103,1170 18,BOYS SHIRTS,655,1
104,1170(450) 20,BABA SUIT,555,0
105,1170(450) 22 26,BABA SUIT,575,0
106,1170(450) 28 32,BABA SUIT,635,6
107,1171(450) 20,BABA SUIT,540,9
108,1171(450) 22 26,BABA SUIT,565,9
109,1171(450) 28 32,BABA SUIT,625,6
110,1173(450) 20,BABA SUIT,555,0
111,1173(450) 22 26,BABA SUIT,575,0
112,1173(450) 28 32,BABA SUIT,635,3
113,1175(450) 20,BABA SUIT,555,0
114,1175(450) 22 26,BABA SUIT,575,0
115,1175(450) 28 32,BABA SUIT,635,0
116,12024 4 8,BOYS SHIRTS,205,6
117,1216 30 38,GENTS PANT,425,1
118,1217 30 38,GENTS PANT,495,2
119,1219(532) 2 10,BABA SUIT,1235,0
120,1220 (53265) 2 10,INDO WESTERN,1205,0
121,1221 (53266) 2 10,INDO WESTERN,1205,0
122,1229 30 36,GENTS PANT,430,3
123,1253(532) 0 5,INDO WESTERN,915,0
124,1254(532) 0 5,INDO WESTERN,1145,0
125,1256(532) 2 10,INDO WESTERN,1180,0
126,1260(532) 2 10,BABA SUIT,1030,18
127,1261(532) 2 10,BABA SUIT,999,36
128,1262 (532) 2 10,INDO WESTERN,1145,0
129,1263(532) 2 10,BABA SUIT,1260,0
130,1272(532) 0 5,BABA SUIT,1110,0
131,1287 10 16,BOYS SHIRTS,325,4
132,1290(532) 0 5,BABA SUIT,915,0
133,1306(532) 0 5,BABA SUIT,915,6
134,1307(532) 0 5,BABA SUIT,915,0
135,1319(532) 2 10,KURTA PAJAMA,899,0
136,1320(532) 0 5,BABA SUIT,915,6
137,1322(532) 2 10,BABA SUIT,1030,0
138,1329(532) 1 10,BABA SUIT,895,0
139,1330(532) 0 5,BABA SUIT,720,0
140,1333(532) 2 10,BABA SUIT,975,0
141,1336(532) 12 16,KURTA PAJAMA,1105,9
142,1336(532) 2 10,KURTA PAJAMA,875,9
143,1339(532) 0 5,BABA SUIT,635,6
144,1340(532) 0 5,BABA SUIT,635,6
145,1342(532) 0 5,BABA SUIT,710,66
146,1347(532) 2 10,BABA SUIT,1110,18
147,138 28 34,GENTS PANT,680,1
148,14045 10 16,BOYS SHIRTS,595,4
149,14524 10 16,BOYS SHIRTS,350,11
150,146 B (HG)   28 38    [610449],GOWN INNER (K),1040,6
151,146 S (HG) 20 26    [610449],GOWN INNER (K),820,4
152,149 32 38,GENTS PANT,685,1
153,152 18,BOYS SHIRTS,440,6
154,15968 28 34,LADIES PANT,325,20
155,16027 28 36,LADIES PANT,415,10
156,16088 28 36,LADIES PANT,415,35
157,16129 28 36,LADIES PANT,415,54
158,16537 28 32,LADIES PANT,390,40
159,166 SMALL,BABA SUIT WINTER,410,9
160,17131 28 34,LADIES PANT,405,3
161,17151 28 34,LADIES JEGGING,455,1
162,17152 28 34,LADIES JEGGING,475,16
163,172 18,BOYS SHIRTS,470,3
164,17256 28 32,LADIES PANT,400,20
165,17267 28 34,LADIES JEGGING,465,8
166,17287 34 36,LADIES PANT,425,11
167,17322 30 36,LADIES JEGGING,475,8
168,17403 28 32,LADIES DANGRI,655,3
169,17421 34 36,LADIES PANT,410,68
170,17495 28 32,LADIES PANT,475,4
171,17579 28 34,LADIES (FORMAL) PANT,495,2
172,17602 28 34,LADIES JEGGING,435,4
173,1762 10 20,BOYS CAPRI,280,12
174,17881 28 34,LADIES JOGGER,400,0
175,17946 28 34,LADIES JEGGING,450,9
176,18343 28 32,LADIES PANT,400,4
177,18358 28 32,LADIES PANT,375,20
178,18386 28 34,LADIES JEGGING,455,8
179,18412 28 34,LADIES JEGGING,530,4
180,18450 28 34,LADIES DANGRI,605,3
181,18522 28 34,LADIES JEGGING,455,32
182,18597 36 38,LADIES JEGGING,495,2
183,18626 28 32,LADIES(R.F.D)PANT,485,5
184,18907 28 34,LADIES JEGGING,455,10
185,18954 28 34,LADIES JEGGING,465,10
186,18962 28 34,LADIES JEGGING,510,12
187,19004 36 40,LADIES PANT,445,-45
188,19184 28 34,LADIES PANT,530,11
189,19319 28 34,LADIES JEGGING,430,39
190,19484 28 32,LADIES PANT (VELVET),415,15
191,19485 28 32,LADIES PANT (VELVET),400,20
192,19486 28 32,LADIES PANT (VELVET),400,10
193,19532 36 40,LADIES PANT,570,2
194,19544 18,BOYS SHIRTS,480,1
195,19558 28 34,LADIES JEGGING,485,5
196,19598 28 34,LADIES PANT,495,0
197,19626 28 34,LADIES JEGGINGS,505,1
198,19671 30 36,LADIES JEGGING,510,1
199,19725 28 34,LADIES PANT,415,0
200,19727 28 34,LADIES(BLACK)PANT,480,19
201,19782 28 34,LADIES(WHITE)PANT,430,-3
202,19799 28 32,LADIES(R.F.D)PANT,515,12
203,19825 28 34,LADIES JEGGING,435,10
204,19837 28 34,LADIES JEGGING,445,8
205,20 GH/PANTS 12 15,BOYS (R.F.D.) NICKER,115,12
206,20 GH/PANTS 16 18,BOYS (R.F.D.) NICKER,125,9
207,2001(605) 24 34,GIRLS SET (L),695,0
208,20081 30 36,LADIES JOGGER,505,0
209,20087 28 34,LADIES JEGGING,395,47
210,20090 28 34,LADIES PANT,480,13
211,20092 28 34,LADIES JOGGER,515,15
212,20150 28 34,LADIES JEGGING,465,4
213,20162 36 40,LADIES JOGGER,440,5
214,20176 28 34,LADIES JEGGINGS,510,-5
215,20177 28 34,LADIES JEGGINGS,510,5
216,20178 28 34,LADIES JEGGINGS,510,29
217,20227 28 34,LADIES JEGGING,275,56
218,20246 36 38,LADIES PANT,575,73
219,20248 28 34,LADIES JEGGING,375,18
220,20305 28 34,LADIES JEGGING,345,15
221,20312 28 34,LADIES PANT,535,71
222,20316 28 34,LADIES(BLACK)PANT,355,15
223,20366 28 36,GENTS PANT,405,-1
224,20367 28 36,GENTS PANT,340,-1
225,20386 28 34,DENIM PLAZO,595,-1
226,20387 28 34,DENIM PLAZO,665,4
227,20392 28 34,GENTS PANT,345,-1
228,20412 28 36,GENTS PANT,395,-2
229,20413 28 34,GENTS PANT,325,-1
230,20418 30 36,GENTS PANT,430,-2
231,20623 30 36,GENTS PANT,625,1
232,20626 28 34,GENTS PANT,505,-4
233,20634 28 34,GENTS PANT,570,1
234,20653 28 34,GENTS PANT,590,2
235,20657 28 34,GENTS PANT,500,-2
236,20660 28 34,GENTS PANT,550,6
237,20687 28 34,GENTS PANT,555,11
238,20690 28 34,GENTS PANT,535,14
239,20691 28 34,GENTS PANT,535,1
240,20699 30 36,GENTS PANT,560,1
241,20701 28 34,LADIES PANT,460,14
242,20735 28 34,LADIES(R.F.D)PANT,465,0
243,20748 28 34,LADIES(R.F.D)PANT,445,8
244,20774 28 34,LADIES PANT,575,1
245,20775 28 34,LADIES JEGGING,325,4
246,20778 28 34,LADIES JOGGER,525,0
247,20795 24 34,LADIES PANT,570,2
248,2081 2 10,BOYS NICKER,310,5
249,20830 28 34,LADIES PANT,550,20
250,20875 28 34,LADIES PANT,525,15
251,20929 22 30,GIRLS JEGGING,265,0
252,20930 22 30,GIRLS JEGGING,265,0
253,20931 22 30,GIRLS JEGGING,255,0
254,20936 28 34,LADIES(R.F.D)PANT,0,1
255,20963 28 34,LADIES PANT,465,16
256,20986 28 34,LADIES (STRAIT) PANT,455,15
257,21045 28 32,LADIES (FORMAL) PANT,425,10
258,21045 28 34,LADIES (FORMAL) PANT,0,15
259,21049 28 34,LADIES PANT,440,5
260,21081 28 34,LADIES JEGGING,410,3
261,21097 28 32,LADIES (BLK) JOGGER,455,0
262,21141 28 34,LADIES (R.F.D) DANGRI,720,12
263,21154 28 34,LADIES PANT,575,1
264,21197 28 32,LADIES (BALL BOTTOM) PANT,0,4
265,21198 36 38,LADIES (BALL BOTTOM) PANT,580,18
266,21211 28 34,LADIES (STRAIT) PANT,595,4
267,21223 28 34,LADIES JEGGING,430,8
268,21279 28 34,LADIES (R.F.D) JOGGER,705,16
269,21319 28 34,LADIES JEGGING,235,31
270,2133 2 12,BOYS NICKER,275,12
271,21344 36 38,LADIES JEGGING (DNAM),570,-6
272,21345 28 34,LADIES JEGGING (DNAM),515,48
273,21349 28 32,LADIES JOGGER,455,4
274,21356 28 34,LADIES(BLACK)PANT,530,51
275,21389 28 34,LADIES(BLACK)PANT,630,20
276,21402 28 34,LADIES CARGO,625,0
277,21434 28 34,LADIES JEGGING,465,16
278,21496 28 34,LADIES JOGGER,430,27
279,21502 28 34,LADIES (BALL BOTTOM) PANT,540,8
280,21515 28 32,LADIES(BLACK)PANT,505,15
281,21519 28 34,LADIES(R.F.D)PANT,615,12
282,21524 28 34,LADIES PANT,535,7
283,21528 28 34,LADIES(R.F.D)PANT,515,0
284,21539 28 32,LADIES(BLACK)PANT,585,20
285,21541 28 30,LADIES(BLACK)PANT,570,18
286,21555 36 40,LADIES JEGGING,430,17
287,21556 28 34,LADIES JEGGING,465,1
288,21574 28 34,LADIES PANT,575,24
289,21597 L XL,LADIES JEGGING,365,4
290,21599 28 34,LADIES JOGGER,605,0
291,21633 28 34,LADIES JOGGER,495,0
292,21634 36 38,LADIES PANT,450,1
293,21639 28 34,LADIES JOGGER,310,12
294,21643 16 26,LADIES(WHITE)PANT,0,-6
295,21643 28 32,LADIES(WHITE)PANT,585,6
296,21656 28 34,LADIES JOGGER,530,3
297,21665 28 34,LADIES PANT,495,0
298,21666 M 2XL,PLAZO (PANT),395,-36
299,21683 36 40,LADIES PANT,595,-11
300,21684 36 40,LADIES PANT,595,-44
301,21694 28 34,LADIES(R.F.D)PANT,535,1
302,21775 28 34,LADIES JOGGER,430,8
303,21786 28 32,LADIES (STRAIT) PANT,530,0
304,21790 28 34,LADIES (STRAIT) PANT,595,0
305,21791 28 34,LADIES PANT,490,4
306,21792 28 34,LADIES PANT,510,12
307,21794 28 34,LADIES PANT,475,-1
308,21804 34 38,LADIES(WHITE)PANT,560,18
309,21810 28 32,LADIES (R.F.D) JOGGER,495,0
310,21817 28 34,LADIES JEGGING (DNAM),475,24
311,21823 28 34,LADIES(R.F.D)PANT,575,7
312,21825 28 34,LADIES(BLACK)PANT,445,25
313,21830 28 32,LADIES PANT,535,0
314,21839 28 32,LADIES JOGGER,405,45
315,21850 34 38,LADIES(R.F.D)PANT,615,2
316,21854 28 32,LADIES(R.F.D)PANT,565,0
317,21858 28 30,LADIES (STRAIT) PANT,485,-1
318,21858 28 34,LADIES (STRAIT) PANT,0,1
319,21867 28 34,LADIES(R.F.D)PANT,565,0
320,21871 28 34,LADIES(BLACK)PANT,665,12
321,21874 28 30,LADIES PANT,605,1
322,21894 28 32,GIRLS PANT(DNAM),410,0
323,21896 28 34,LADIES JEGGINGS,395,40
324,21902 28 34,LADIES (FORMAL) PANT,455,1
325,21918 28 34,LADIES PANT,440,1
326,21920 28 34,LADIES(R.F.D)PANT,575,2
327,21925 28 34,LADIES (STRAIT) PANT,535,4
328,21932 28 30,LADIES (STRAIT) PANT,590,3
329,21937 28 34,LADIES PANT,515,1
330,21947 28 34,LADIES(R.F.D)PANT,585,4
331,21952 28 32,LADIES(R.F.D)PANT,545,20
332,21976 28 34,LADIES (STRAIT) R.F.D,545,25
333,21982 28 36,LADIES (FORMAL) PANT,335,4
334,21989 28 32,LADIES(R.F.D)PANT,480,1
335,21991 28 32,LADIES(R.F.D)PANT,580,7
336,21997 28 32,LADIES(R.F.D)PANT,585,1
337,22003 28 34,LADIES JEGGING,425,82
338,22004 28 34,LADIES JEGGING,435,0
339,22040 28 32,LADIES PANT,570,7
340,22045 28 34,LADIES (FORMAL) PANT,425,25
341,22052 28 34,LADIES JEGGING,440,69
342,22063 28 32,LADIES(R.F.D)PANT,580,0
343,22065 28 34,LADIES JEGGING,430,4
344,22066 28 32,LADIES (R.F.D) JOGGER,610,6
345,22075 28 32,LADIES (BLK) JOGGER,480,0
346,22087 28 34,LADIES (BALL BOTTOM) PANT,595,4
347,22111 28 34,LADIES(WHITE)PANT,575,-4
348,22114 28 34,LADIES JEGGING,300,12
349,22125 28 34,LADIES PANT,450,1
350,22131 36 38,LADIES JEGGING,570,13
351,22142 28 32,LADIES(BLACK)PANT,610,1
352,22149 28 32,LADIES PANT,445,1
353,22153 28 34,LADIES PANT,475,0
354,22165 28 30,LADIES PANT,595,1
355,22183 28 34,LADIES PANT,565,1
356,22191 28 34,LADIES (BALL BOTTOM) PANT,540,6
357,22207 28 34,LADIES PANT,515,1
358,22218 36 38,LADIES(R.F.D)PANT,610,5
359,22219 28 34,LADIES (FORMAL) PANT,580,41
360,22221 28 34,LADIES (BLK) JOGGER,555,1
361,22226 28 34,LADIES PANT,485,1
362,22229 28 32,LADIES(BLACK)PANT,570,3
363,22245 28 32,LADIES(BLACK)PANT,485,5
364,22264 28 32,LADIES(BLACK)PANT,580,4
365,22286 28 32,LADIES (STRAIT) PANT,480,-35
366,22286 28 34,LADIES (STRAIT) PANT,480,-5
367,22293 28 34,LADIES(WHITE)PANT,570,-2
368,22296 28 34,LADIES PANT,430,20
369,22297 28 34,LADIES PANT,405,8
370,22312 28 34,LADIES (BALL BOTTOM) JAGGING,540,0
371,22313 28 34,LADIES(BLACK)PANT,555,3
372,22314 28 34,LADIES PANT,585,1
373,22329 28 34,LADIES PANT,545,4
374,22335 28 34,LADIES(WHITE)PANT,490,8
375,22343 28 34,LADIES PANT,455,11
376,22348 28 32,LADIES PANT,470,0
377,22349 28 32,LADIES PANT,505,1
378,22352 28 32,LADIES PANT,515,1
379,22353 28 34,LADIES JEGGING,510,20
380,22359 28 34,LADIES PANT,470,1
381,22374 28 34,LADIES PANT,520,2
382,22380 28 32,LADIES (R.F.D) JOGGER,535,6
383,22381 28 32,LADIES (R.F.D) JOGGER,510,0
384,22383 28 32,LADIES PANT,470,44
385,22389 28 34,LADIES (STRAIT) PANT,570,0
386,22400 36 38,LADIES PANT,615,1
387,22401 28 34,LADIES JOGGER,475,4
388,22411 28 32,LADIES PANT,465,1
389,22414 28 34,LADIES (STRAIT) R.F.D,695,-16
390,2242 6 16,BOYS CAPRI,395,5
391,22423 28 34,LADIES JOGGER,0,4
392,22424 28 34,LADIES(R.F.D)PANT,550,0
393,22435 28 34,LADIES (STRAIT) PANT,590,2
394,22442 28 32,LADIES (STRAIT) PANT,485,-5
395,22442 28 34,LADIES (STRAIT) PANT,0,5
396,22451 28 32,LADIES(R.F.D)PANT,455,2
397,22452 28 34,LADIES (STRAIT) PANT,505,4
398,2246 1 5,BOYS NICKER,325,30
399,22461 28 34,LADIES PANT,485,5
400,22464 28 32,LADIES(R.F.D)PANT,560,0
401,22465 28 32,LADIES(R.F.D)PANT,560,0
402,2247 1 5,BOYS NICKER,325,18
403,22495 28 34,LADIES JEGGING,425,23
404,22502 36 38,LADIES (STRAIT) PANT,605,2
405,22519 28 32,LADIES PANT,465,3
406,2252 6 16,BOYS CAPRI,370,30
407,22522 28 32,LADIES (STRAIT) PANT,555,-1
408,22524 28 34,LADIES PANT,385,8
409,2253 6 16,BOYS CAPRI,390,6
410,22539 28 34,LADIES (STRAIT) R.F.D,550,10
411,22541 28 34,LADIES (BALL BOTTOM) PANT,595,1
412,22543 28 34,LADIES (BALL BOTTOM) PANT,485,-4
413,22546 28 34,LADIES (STRAIT) PANT,495,7
414,22547 36 40,LADIES(WHITE)PANT,575,-1
415,22554 36 40,LADIES JEGGING,455,0
416,22568 36 40,LADIES PANT,545,4
417,22571 36 40,LADIES (STRAIT) PANT,365,0
418,22572 36 40,LADIES PANT,355,5
419,22573 34 38,LADIES(R.F.D)PANT,590,3
420,22597 28 34,LADIES (STRAIT) PANT,595,0
421,22599 28 32,LADIES(R.F.D)PANT,540,1
422,22603 28 34,LADIES CARGO,440,-2
423,22610 28 36,LADIES (FORMAL) PANT,395,35
424,22611 28 36,LADIES (FORMAL) PANT,505,178
425,22614 28 34,LADIES PANT,575,0
426,22617 28 32,LADIES (STRAIT) PANT,585,0
427,22624 28 34,LADIES PANT,555,2
428,2263 12 20,BOYS CAPRI,380,10
429,22631 28 34,LADIES(BLACK)PANT,570,1
430,22636 28 34,LADIES (STRAIT) R.F.D,635,4
431,22638 36 38,LADIES (STRAIT) R.F.D,680,2
432,22639 28 32,LADIES(BLACK)PANT,555,5
433,22643 28 34,LADIES (BALL BOTTOM) PANT,610,-6
434,22651 28 34,LADIES PANT,565,1
435,22654 28 34,LADIES (BALL BOTTOM) PANT,615,0
436,22658 28 32,LADIES (STRAIT) PANT,535,0
437,22659 34 38,LADIES (STRAIT) PANT,605,5
438,22663 34 38,LADIES (STRAIT) PANT,470,2
439,22666 36 38,LADIES PANT,545,11
440,22667 28 34,LADIES (STRAIT) PANT,685,-1
441,22667 28 36,LADIES (STRAIT) PANT,0,2
442,22677 28 34,LADIES PANT,555,1
443,22686 28 34,LADIES(BLACK)PANT,430,6
444,22698 28 32,LADIES PANT,560,-4
445,22700 28 32,LADIES PANT,515,1
446,22719 28 34,LADIES PANT,465,0
447,22722 28 32,LADIES PANT,480,1
448,22727 28 32,LADIES PANT,580,-4
449,22731 28 34,LADIES(WHITE)PANT,535,20
450,22732 28 34,LADIES(WHITE)PANT,605,15
451,22738 28 34,LADIES PANT (COTRIS),535,4
452,22745 34 38,LADIES PANT,530,0
453,22748 28 34,LADIES PANT,630,0
454,22750 28 34,LADIES PANT,425,1
455,22765 28 34,LADIES (STRAIT) PANT,790,0
456,22790 28 34,LADIES (STRAIT) PANT,600,-2
457,22792 28 34,LADIES PANT,595,0
458,22793 28 34,LADIES PANT,455,0
459,22804 28 34,LADIES(R.F.D)PANT,495,0
460,22813 28 34,LADIES PANT,455,8
461,22819 28 34,LADIES(BLACK)PANT,360,7
462,22831 28 32,LADIES (STRAIT) PANT,550,-9
463,22831 28 34,LADIES (STRAIT) PANT,0,4
464,22845 28 34,LADIES JOGGER,0,5
465,22862 28 30,LADIES(BLACK)PANT,535,8
466,22862 28 34,LADIES(BLACK)PANT,535,3
467,22865 28 34,LADIES(BLACK)PANT,525,4
468,22867 28 34,LADIES CARGO,475,1
469,22881 28 32,LADIES PANT,485,11
470,22882 28 32,LADIES (STRAIT) PANT,585,2
471,22882 28 34,LADIES (STRAIT) PANT,585,-2
472,22896 28 34,LADIES (STRAIT) PANT,485,-4
473,22902 28 34,LADIES(R.F.D)PANT,560,0
474,22906 28 32,LADIES (STRAIT) PANT,485,-2
475,22906 28 34,LADIES (STRAIT) PANT,0,10
476,22908 28 32,LADIES (FORMAL) PANT,395,1
477,22913 36 38,LADIES(WHITE)PANT,585,19
478,22923 28 34,LADIES (BALL BOTTOM) PANT,490,0
479,22926 28 34,LADIES (STRAIT) R.F.D,635,8
480,22931 36 40,LADIES(BLACK)PANT,470,5
481,22932 36 40,LADIES(BLACK)PANT,485,7
482,22933 28 34,LADIES PANT,480,-1
483,22934 28 34,LADIES (BALL BOTTOM) PANT,545,1
484,22956 28 34,LADIES (STRAIT) PANT,600,1
485,22965 28 32,LADIES(WHITE)PANT,520,1
486,22966 28 34,LADIES CARGO,550,-3
487,22970 28 34,LADIES PANT,595,35
488,22971 28 34,LADIES PANT,560,4
489,22972 36 40,LADIES PANT,635,-1
490,22973 36 40,LADIES PANT,595,0
491,22976 28 32,LADIES (STRAIT) PANT,585,0
492,22989 36 40,LADIES (STRAIT) PANT,720,-1
493,22990 28 34,LADIES (STRAIT) PANT,695,9
494,23007 28 34,LADIES (BALL BOTTOM) PANT,475,1
495,23008 28 34,LADIES (BALL BOTTOM) PANT,520,48
496,23013 28 32,LADIES(BLACK)PANT,475,1
497,23014 28 32,LADIES(BLACK)PANT,425,-5
498,23015 28 32,LADIES(R.F.D)PANT,440,0
499,23022 28 34,LADIES (STRAIT) JAGGING,425,68
500,23023,LADIES (STRAIT) JAGGING,450,0
501,23024 28 34,LADIES (STRAIT) JAGGING,480,36
502,23027 28 32,LADIES (BALL BOTTOM) R.F.D,580,2
503,23030 28 32,LADIES PANT,560,0
504,23031 28 32,LADIES PANT,595,0
505,23035 28 34,LADIES JOGGER,560,3
506,23041 28 34,LADIES(BLACK)PANT,465,0
507,23071 28 34,LADIES (STRAIT) PANT,690,12
508,23079 28 32,LADIES PANT,525,-4
509,23082 28 32,LADIES (STRAIT) PANT,615,1
510,23083 28 32,LADIES (STRAIT) PANT,640,0
511,23085 28 32,LADIES (STRAIT) PANT,395,0
512,23094 28 32,LADIES (R.F.D) JOGGER,535,0
513,23095 28 34,LADIES (STRAIT) PANT,595,0
514,23096 28 36,LADIES (STRAIT) JAGGING,530,2
515,23099 36 38,LADIES PANT,0,4
516,23099 36 40,LADIES PANT,590,-8
517,23100 36 40,LADIES PANT,590,0
518,23108 28 32,LADIES PANT,470,1
519,23110 28 34,LADIES(R.F.D)PANT,545,0
520,23112 28 34,LADIES CARGO,560,0
521,23114 28 32,LADIES PANT,525,1
522,23121 28 34,LADIES(BLACK)PANT,635,6
523,23125 28 34,LADIES(R.F.D)PANT,480,0
524,23127 28 34,LADIES PANT,505,0
525,23128 36 38,LADIES PANT,535,3
526,23131 36 40,LADIES (CARGO) STRAIT,515,0
527,23132 28 32,LADIES (STRAIT) PANT,445,1
528,23133 28 32,LADIES PANT,495,0
529,23135 28 32,LADIES (CARGO) STRAIT,515,1
530,23136 28 34,LADIES(R.F.D)PANT,545,0
531,23137 28 34,LADIES(R.F.D)PANT,545,0
532,23140 28 32,LADIES PANT,575,0
533,23141 28 32,LADIES PANT,560,0
534,23144 28 30,LADIES PANT,485,2
535,23150 28 30,LADIES (STRAIT) PANT,570,0
536,23151 28 30,LADIES (STRAIT) PANT,580,1
537,23152 28 34,LADIES (CARGO) STRAIT,590,0
538,23158 28 32,LADIES PANT,480,1
539,23159 28 32,LADIES PANT,480,2
540,23160 28 34,LADIES JOGGER,560,8
541,23161 28 34,LADIES (BLK) JOGGER,570,-5
542,23162 28 34,LADIES CARGO,625,1
543,23167 28 34,LADIES (CARGO) STRAIT,440,5
544,23169 28 34,LADIES (STRAIT) PANT,520,2
545,23173 L 2XL,LADIES (STRAIT) JAGGING,345,4
546,23175 28 34,LADIES (STRAIT) PANT,495,0
547,23177 28 34,LADIES (STRAIT) PANT,555,0
548,23179 28 32,LADIES (STRAIT) PANT,575,7
549,23183 28 32,LADIES PANT,555,0
550,23185 28 34,LADIES PANT,580,0
551,23201 28 32,LADIES PANT,555,19
552,23202 28 32,LADIES PANT,565,17
553,23203 28 30,LADIES PANT,580,0
554,23204 28 30,LADIES PANT,0,-12
555,23204 28 32,LADIES PANT,580,12
556,23205 28 30,LADIES (STRAIT) PANT,535,-1
557,23206 28 30,LADIES (STRAIT) PANT,535,-1
558,23213 28 32,LADIES PANT,630,0
559,23216 28,LADIES PANT,460,-1
560,23229 28 34,LADIES (STRAIT) R.F.D,495,4
561,2323 20 24,BOYS CAPRI,445,0
562,23231 28 32,LADIES PANT,565,0
563,23232 28 32,LADIES (CARGO) STRAIT,515,0
564,23233 28 30,LADIES (STRAIT) PANT,505,0
565,23239 36 38,LADIES(BLACK)PANT,575,52
566,23244 28 34,LADIES (CARGO) STRAIT,505,0
567,23246 28 30,LADIES (STRAIT) PANT,515,0
568,23247 28 34,LADIES(BLACK)PANT,485,0
569,23248 36 40,LADIES (STRAIT) PANT,630,29
570,23249 28 34,LADIES (CARGO) STRAIT,605,5
571,23251 28 34,LADIES(BLACK)PANT,550,0
572,23253 28 34,LADIES PANT,440,0
573,23260 28 34,LADIES (STRAIT) PANT,320,0
